Id,Reputation,TagScore,DisplayName,UpVotes,DownVotes,Views,AccountId
927378,97,0,Ashe,16,0,72,888573
1216769,209,4,trim,39,2,21,182792
7317277,21,2,Ashish,0,0,2,9881259
5474317,1085,1,John,188,12,138,6392894
1287576,3107,114,md1hunox,473,4,272,1347035
1602923,1536,6,Nikolay Derkach,140,16,513,48241
7094074,45,0,user55641,0,0,25,6670403
1142160,317,3,CHM,48,1,46,1163036
11271927,57,0,Gregory Sky,4,0,7,15623746
10906733,11,1,Iscrej,0,0,6,15113554
9236125,1,-1,Michael Kodesch,0,0,0,12713142
1306181,121,1,Robert,0,0,12,1370964
13010218,1,0,Sagar Gupta,0,0,1,17907400
5455842,241,-1,Lulzsec,47,0,14,7136381
7195708,85,2,Hojin,0,0,8,9700616
3205133,1457,10,capybaralet,32,4,76,2827622
14960135,1,0,leishh,0,0,1,20392529
11092156,1,-1,Matthew Rodriguez,0,0,0,15375233
1362735,5271,0,heretolearn,47,18,530,1443308
7397481,57,1,Abb,3,0,35,10001800
38038,9792,0,Namratha Patil,598,6,823,17133
523725,3677,4,Lobo,874,7,929,248396
733454,625,6,QxQ,136,0,435,379824
8964914,13,0,Sgt Something,0,0,16,12285083
4709428,311,2,Neelahn,18,2,9,5994271
2652700,63,2,Anil,3,0,17,3136245
11870496,3,0,angelika999,0,0,3,16431876
13778069,1,-4,Enes Dogan,0,0,0,18886838
12266204,121,0,dyluns,40,0,15,15456728
14121147,1,0,Ramiro Tutiotoro,0,0,3,19316477
12142556,55,0,Osmankaapa,5,0,18,16796132
10241275,11,-1,andressss91,0,0,3,14149168
2324278,71,1,user2324278,3,0,23,2690887
15930694,3,0,hboykett,0,0,2,21602862
8274979,41,2,Pritesh Choksi,13,0,13,11283448
8483084,1264,3,dbrrt,122,4,87,11578440
2990095,304,1,Timetraveller,27,0,47,3582142
603694,585,2,GregL83,11,0,29,297933
6861399,137,1,Soufiane S,39,1,138,5507760
3045403,536,1,dismine,285,0,46,3653887
886978,689,5,Kenji,59,3,41,476198
12351253,19,0,Rpergy,1,0,23,17070260
2852646,119,0,Ishwor Bhatta,1,0,25,3400267
12591655,11,0,DOL,0,0,3,17379017
2916098,63,0,Aaron Isaac,0,0,23,3484902
6900984,622,44,marz,11,1,70,9293171
2581820,518,5,BVJ,13,5,32,3046244
2621316,2011,98,Amon,1190,0,387,2501052
2646881,246,1,rRr,66,1,108,3128445
6716078,856,0,Arsenal591,10,1,27,9011812
14645540,1,0,Sumaiya Islam,0,0,1,19982799
4878855,29,2,Bob Pynewby,0,0,12,6276252
14241824,1,0,sjlim,0,0,1,19469087
4008282,15,0,Dean Perkins,0,0,0,4984166
2442129,1,0,user2442129,0,0,7,2842931
8319320,23,2,Ddeadpool,0,0,5,11347164
4438904,489,7,ParaH2,22,2,99,4762911
16112506,13,1,Айдын,0,0,1,21815653
11664540,43,2,pranjaldatta,2,0,13,16157658
4268132,372,11,Naba Chinde,74,1,99,5355291
6415378,13,0,k123,0,0,3,8561462
5688999,1327,14,alwaysaskingquestions,43,0,304,7485736
13807606,11,0,Mr. C. Developer,0,0,5,18924113
10905807,87,0,wickedflow,6,0,15,15112032
11607863,43,-2,Peter P,1,0,4,13963439
5919615,33,3,Mike,0,0,1,7828810
13538564,1,0,DedRed,0,0,2,18578527
3989503,363,0,Muneeb K,47,0,55,4957263
13637559,1,0,ari roy,0,0,1,18706514
4111128,289,0,Pratik Jaiswal,49,0,92,5130894
15769382,1,0,suwi,0,0,0,21408667
5671364,1855,0,Ganesh Kathiresan,430,9,315,7147655
3749836,1823,10,gibbz00,722,0,429,4626037
11470571,11,1,mjack24,0,0,1,15897053
1872234,1545,0,Wajahat,180,19,481,2105895
1914641,11,1,user53341,0,0,1,2152345
7664866,893,0,Liza,67,1,137,10394812
11468799,93,0,Lore,8,0,44,15894758
9712268,19,-2,soul,9,0,11,13459820
11653791,23,0,MrFapoh,1,0,8,16143334
9564346,1,0,Chen,0,0,1,13244931
1985948,241,1,user1985948,5,0,34,2254467
9605541,63,2,Amit Hasan Arpon,2,0,19,13305680
13491094,7,0,vgnrd,0,0,7,18517209
2109788,936,0,user2109788,62,1,57,2415737
5779756,21,-2,bozz,0,0,12,7621944
3578719,9,-7,user3578719,0,0,5,4389956
11375665,35,1,igbobahaushe,10,0,3,15765008
3146833,1077,39,Eric Miller,14,0,39,3789987
12984498,11,0,roborbiettino,0,0,8,17873917
3485806,317,0,sibert,14,0,20,4261557
5453184,393,7,Nigel Ng,17,0,76,7132367
5483103,120,8,Loc-Tran,8,0,5,7177928
1127699,12954,8,Terence Eden,274,34,2024,1144664
7322178,21,2,Marko Vučkovic,0,0,0,9888333
7362762,21,2,Joao,0,0,2,9949492
9177496,3,0,itupum,0,0,1,8925144
7379944,1,0,JaJaBanx,0,0,0,9975036
8949717,21,2,ajay m,1,0,3,12262399
14822451,13,1,christospap,0,0,2,17800127
1301364,391,9,joehand,62,1,37,1364667
325081,4073,0,Aymon Fournier,136,6,1244,127722
522962,3498,15,user_78361084,341,41,1323,247912
668153,237,3,netroyal,17,0,45,338976
2559795,237,3,Justin,4,0,49,3018206
6093,24304,11,Mr Shark,199,3,617,4117
875044,7786,24,Kan Li,79,217,413,468829
4662193,356,0,lunaferie,33,1,17,5926466
4764048,109,2,Daemond-Creep,10,0,17,6106444
7105371,1,-2,cats099,0,0,3,9566138
11970456,1,0,Dogeun Oh,0,0,3,16565837
10198560,1,0,tim-s1991,0,0,0,14117031
10073700,11,1,Hyu,0,0,1,13949943
6233268,1,0,Deepak Kumar,0,0,7,6930880
14176809,1,-1,Alex,0,0,0,19387355
10575434,9,0,SDK,0,0,9,14643380
8764670,23,2,DenisM,0,0,2,11978079
2882307,1496,6,John Smith,117,7,179,3440163
6946550,502,1,Dishant Kapadiya,10,3,83,9359902
4715567,319,-6,Jimmys,9,0,69,6002848
10614772,21,1,She,0,0,1,14697874
526568,651,2,Thanos,9,1,32,250077
7648,8906,-1,Paul Reiners,684,10,1664,4926
206668,339,10,Demon Labs,5,0,55,71436
6700019,4977,9,Masoud Rahimi,1394,138,839,8986621
4794831,23,0,Shreya,0,0,19,6150213
6747608,11,1,Atin Sood,0,0,5,9061098
389255,6094,3,James Gan,107,6,507,165635
14674086,23,2,Ahmad Hassan,0,0,5,20018677
10772178,461,4,Solal,62,2,89,14919332
8691732,11,0,elana underhill,0,0,19,11210599
6916919,1780,51,Tanmay Bhatnagar,69,11,332,9316840
4992668,3,0,Rick,0,0,1,6443430
12406496,48,2,fof,0,0,9,7424292
815528,17,2,s4kur402,0,0,47,775382
5131804,65,2,DXL,61,0,14,6080208
3096064,45,3,smart pony,0,0,6,2820074
9994802,183,0,Anubhav Dinkar,19,0,76,13845576
4263463,1,0,jackieluo,0,0,2,5348732
12098903,568,0,Patch,84,15,157,16738533
11616195,1,0,bizzy,0,0,0,15801798
7975333,13,1,Pradish,0,0,0,10836258
2379846,11,0,FrIgGeR,0,0,14,2763468
8495027,23,-1,Rajat Bhardwaj,0,0,9,11596401
12282084,1,0,Valkiria Acuatica,0,0,2,16979787
13515692,3,0,Atikul Haque Farazi,0,0,3,18549085
15691163,11,1,gul,0,0,2,21317537
7635193,1,0,nish,0,0,11,10352047
10927625,11,0,helena tavares,0,0,3,15143138
15746556,67,1,Tom Smith,3,0,7,18397705
13426370,120,2,Alechandro,6,0,7,13887593
13639476,5,0,sham sar,0,0,6,18709021
1764129,3550,12,p-robot,1474,9,134,1963231
13337530,11,1,Max Frings,0,0,0,18315708
7968690,3,0,Kirti Pal,0,0,19,10835590
11540986,1,0,gangsignwall,0,0,2,15992086
9933185,45,2,Peter,8,0,12,13764241
5887083,400,0,C a t,17,1,23,7780541
5623211,446,-1,Payne,62,2,83,7389243
13460282,87,0,john-mueller,16,0,53,18477024
3267256,103,0,user3267256,9,0,30,3959879
1214547,731,10,Pastafarianist,57,0,82,1254860
1287714,3084,35,snakesNbronies,297,49,256,1347207
5379427,33,3,R. Taylor,0,0,2,7019331
1114966,29310,-2,squiguy,1025,310,2359,1128247
13042347,13,-2,V2P,0,0,10,17948734
12778142,23,-2,jasw,0,0,9,17609863
12803246,11,1,Bowpac,0,0,4,17640963
12887925,1,-2,Behzad Norouzi,0,0,2,17749366
11192726,21,1,Bgong,0,0,10,15514901
987846,7682,0,kakyo,6749,26,896,964075
1423203,2355,0,Ujju,263,1,1131,1524417
3538065,1519,6,driftking9987,321,21,290,4333163
9147959,11,0,Kyle,0,0,7,12575377
7256249,51,0,Matěj Marčišovský,0,0,5,9791927
1320577,173,16,cybernerd,0,0,9,1389353
2724091,577,3,SddS,129,4,32,2459965
51816,271050,832,Joan Venge,3303,480,12742,21350
340453,22157,11,Ivan,13,3,270,136740
3072175,500,12,asafel,147,4,29,3689123
2723021,372,1,Masoud Motallebipour,81,6,148,3226873
504044,599,3,nickles,27,0,35,236508
12585593,325,1,Adam Heinrich,59,5,37,17371572
16073138,17,0,Meskaj,0,0,9,21769904
16254143,1,0,Vaishali Sharma,0,0,1,21978735
4207793,728,8,IgorZ,197,5,95,5268813
6259005,61,0,David Tao,2,0,14,8330409
14216070,1,0,Lydia,0,0,0,19436775
10301108,11,1,wannabdev,0,0,1,14260012
4216979,103,0,CorruptedHeapScapeGoat,0,0,17,5281920
13967949,1,0,hamed ashrafi,0,0,2,15882406
10374965,3,-2,Nicolas Othmar,0,0,4,14363157
41613,43406,163,ʞɔıu,255,2,3572,18234
12580945,15,-1,nikos,0,0,28,17365762
687980,657,6,pbanka,129,5,159,351479
14776142,1,0,Ethan Carlton,0,0,3,20148135
8484,8020,0,Jose M Vidal,497,17,1438,5314
8928236,1,-3,Shyam,0,0,0,12232820
10783072,19,1,Pradeep,0,0,7,14934692
867162,1687,5,Dolf Andringa,73,17,145,463952
112415,27458,2569,jespern,1,0,3278,39020
2690449,53,1,user2690449,18,0,13,3184448
4847112,421,2,RogB,10,0,37,6230041
640584,26088,3,Tyilo,1117,39,754,321640
280454,10559,1,Karan,41,0,496,105000
14701919,357,0,Timeler,21,5,38,20053778
3042589,121,2,UncleSax,11,0,48,3650226
498112,1355,0,elwis,195,1,148,232940
3058525,3072,0,night_bat,35,1,87,3671399
6536918,1,0,Bilal Khan,0,0,2,8739418
10223909,67,2,Artur Gorczyński,5,0,5,14152254
2422466,2359,0,Alexis Benoist,72,4,126,2817903
7916918,129,3,alex anderson,2,0,14,10760309
4029525,377,9,anand mbs,6,1,88,5014284
8044502,13,1,user8044502,0,0,0,10946626
7890442,1,0,TorturedOne,0,0,3,10721487
5954071,11,1,sarangAB,0,0,5,548371
2155026,772,3,Omar Shehab,559,3,122,555473
2425365,5861,0,activatedgeek,2663,102,766,2821755
2486357,6552,13,C_Z_,491,147,521,2899239
7613290,55,0,Timbwa,15,0,0,10320122
7624017,21,2,Owenleung,0,0,0,10335878
9855577,381,-1,Umair Javaid,35,0,79,13660280
5981703,23,2,coder1812,0,0,0,7920567
8022081,307,0,cad,12,0,51,10913486
1700890,5526,8,user1700890,1172,2,864,1880602
3553228,3078,0,Lisa,397,0,334,3955670
6086865,2360,3,Peter Sobhi,622,122,237,8075757
13478147,1,0,pala.d,0,0,2,18500758
927092,18038,9,Jonathan Ong,223,40,1005,888179
9404771,89,2,Pyt Leb,0,0,42,13012191
1577310,21,1,mdaif,0,0,2,490036
5606836,1258,2,Jerrybibo,887,798,219,7364809
11055042,707,2,Alex Ortner,30,4,45,15323174
7378715,45,2,user7378715,5,0,9,9973309
1048588,2707,4,jstuardo,162,53,1057,1042981
11073040,1,0,Ariel,0,0,2,11062183
9411080,1,0,Emma Sargent,0,0,7,13022002
5200464,11,0,Dan,0,0,0,6750254
7300675,77,2,Hugo,10,0,32,9856295
3121683,991,1,Karan,122,3,157,3755177
1433060,31,0,user1433060,1,0,15,1537465
5232122,3953,0,Velidan,136,14,214,6797438
7257089,322,3,millsy,7,1,20,9793113
1239685,3124,6,Dominick Pastore,152,13,123,1286775
15084714,65,0,Lyliie,6,0,13,20552265
8658174,119,0,Shadab Ansari,6,0,47,11831600
2735636,366,2,Ricard Molins,189,1,50,3243200
6782327,39,0,David González,0,0,11,9114957
4866775,21,1,Swapnil Revankar,0,0,9,6259059
573180,2844,1,Charles Offenbacher,93,7,214,278542
3109948,165,0,nham,13,0,4,3739996
6656732,17,0,JJBridger,0,0,4,8919591
8756965,55,0,BPK,3,0,3,11967760
616730,6124,3,foobarbecue,601,34,879,306152
8110264,1,-1,Caroliner,0,0,13,11043061
14406243,1,-3,CubacraftLP,0,0,1,19678692
4309985,1214,0,Andrew Fan,252,20,438,5414395
14339483,31,2,Roy Kuijper,0,0,1,19592840
14478396,1,0,ganondorf29,0,0,0,9318868
14563300,17,1,Its OK,2,0,13,16348767
4970632,2066,16,Luke Davis,789,36,3267,5854412
10480545,43,0,Zach Cook,5,0,15,14509788
14667273,17,0,bob ross,3,0,18,20010116
10492370,1,0,William,0,0,0,14526157
538376,65,2,Steve Haigh,30,0,11,257153
13595025,1,-5,Mamona Daki,0,0,2,18651702
11755791,1,0,purplerain,0,0,2,16279409
6160190,47,-1,Poia,0,0,5,8183840
4305712,1842,2,Patricio Sard,51,25,396,5407687
9844435,11,-4,Steven,0,0,3,13645293
3993187,777,2,abc,2,2,49,4962613
2338997,1382,8,Barun Sharma,85,14,267,2710407
4030015,67,0,Nenad Savic,7,0,17,5014915
8228529,65,1,Linbreux,13,0,10,11215865
7830063,13,0,Gregory M,0,0,7,9035634
6025540,115,0,TonyIT,4,0,16,7986043
13206860,45,1,rajes95,11,0,3,18154684
9595124,11,-3,Ajeeth Majhi,0,0,5,13290499
2144025,21,2,NJKotze,0,0,3,2459584
1873386,2364,0,crashwap,579,10,361,2107361
3935035,7029,3,Stophface,523,107,841,4640755
5993967,31,0,A. Lavery,0,0,3,7328557
9897738,121,-5,Vikas Kumar,0,0,16,13716796
11389475,63,3,DiMa,0,0,9,15784084
3738438,55,-1,barthol0,58,0,19,4610061
1868170,37,1,Tri,3,0,9,2100387
3556757,2915,26,user3556757,105,14,254,4359037
3665931,59,0,DRFeinberg,11,0,4,4509356
3474318,21,-1,user3474318,1,0,37,4245531
9348627,1000,0,Jagdeesh Kumar,49,7,147,12928989
9466260,11,1,sathish smart sagar,0,0,4,13102308
11329971,31,2,snof,0,0,8,15702149
5337021,285,0,CMS,13,0,20,6956016
11108930,486,10,MachineLearner,37,21,71,15390784
1433901,2628,2,MariusSiuram,327,101,183,1538653
5534960,85,0,Nemo,10,0,30,7256491
5487303,81,0,Rinat Hatipov,4,0,35,7184960
1236064,143,1,Patrick Alexson,13,0,40,1282206
5304134,385,1,Luka,7,2,35,6906432
1321925,499,8,mkolarek,19,0,50,1391110
3426814,43,-1,Enaggi,0,0,4,4182102
3085207,441,12,Simon,29,0,35,3706967
12886553,63,0,Matt,6,0,9,14286193
9166602,133,0,SebPF,11,0,20,12605562
12989444,41,3,vargaking,2,0,14,17880530
12656939,92,0,Khaled Koubaa,46,0,27,17458753
5074723,566,6,trystuff,190,1,26,6480007
14853200,1,0,Kost3rs,0,0,1,20252579
5128348,462,10,Alyona,237,2,140,6643325
904765,51,0,Caspar,17,0,4,535109
864181,337,0,RHC,137,6,81,462080
3102640,39,2,user3102640,0,0,14,3729880
14116045,25,2,stanreading,2,0,6,19310088
2506444,151,0,Nikko R.,49,2,42,2924909
4390157,31,3,Cailimb,0,0,2,5529749
14351815,1,0,hibiscushooligan,0,0,1,19608843
6591778,193,10,Nelly,4,0,5,8822449
10444047,11,-1,Huy Trần,0,0,3,14458633
14523915,1,0,Tayfun Celebi,0,0,2,18321860
257942,64169,31,bodacydo,364,27,7010,94479
717447,407,2,Brewer,53,0,61,369847
745985,91,9,zoombini,0,0,1,752665
8823158,35,1,Milind,2,0,12,12066218
2950446,35,1,ccarmona,0,0,22,3530828
8568110,486,6,James,26,0,57,11703994
10550829,1,-1,XIANG HAN,0,0,0,14608792
12282891,55,2,What a Shame,7,0,11,16980930
14290331,1,0,Falco_Subbuteo,0,0,4,19530426
10190654,1,0,Dmitry Sychov,0,0,3,14106809
3768542,419,2,Cédric,48,2,45,4651872
11471766,3,0,ozzu,0,0,1,15898768
7720135,567,5,Edgecase,269,3,96,10472716
9825550,1,0,Clint4Life,0,0,2,13621064
2061038,169,8,Nilesh,3,0,58,2352535
6003886,221,3,Uis234,28,0,61,7953898
15682314,1,0,Eugene,0,0,1,21307291
3128336,3082,14,E.K.,239,7,105,3764473
13438549,3,0,siso El Shennawy,0,0,7,18447688
13666968,11,1,Davi Sena,0,0,8,16396164
8064352,13,1,jerry_doe,0,0,3,10975552
7697476,69,0,Max,2,0,22,10440739
2028440,1193,2,Bằng Rikimaru,262,1,453,2310125
11720987,15,1,Bartek Sadlej,1,0,7,16232674
11739608,61,4,Leong Jun Hao,3,0,11,16257254
1839493,65,6,user1839493,3,0,55,2063425
3877765,105,0,Joe Cambareri,40,0,44,4801160
4032986,79,0,Exodus111,3,0,11,5018962
13624629,1,0,Shubham,0,0,0,18690123
9961000,121,3,Tom1425,1,0,15,13801022
1964489,2388,-1,Ziva,84,1,278,2225638
3765401,1,-2,user127464,0,0,1,4353025
5578077,11,1,Harry Alexander,0,0,31,7322568
1768419,615,0,Pruntoff,33,0,44,1968885
10973003,15,1,Dan Elk,0,0,6,15206859
11264239,175,-1,Abhinav,1,1,19,15613510
12861751,733,0,HaxAddict1337,128,60,256,17715261
7197834,405,0,Myrfy,12,0,36,9703765
13072245,31,2,Ptdr,0,0,1,17987267
7509317,27,1,vivek,1,0,5,10168142
938408,3192,0,László,229,1,264,902708
14955183,5,0,Grubersky,0,0,0,20386237
9150022,9,-1,Joao Prado,0,0,8,12578408
1223975,1,2,Alexander Mills,5705,105,7397,1266843
1334116,101,0,LethalDiversion,0,0,3,1406553
1103561,17737,3,4ntoine,1366,43,1283,1104623
3326384,43,2,user3326384,4,0,4,4044852
8559213,3,0,LB10222,0,0,3,11690882
4688895,31,0,pjmnoble,0,0,5,5964894
241993,1101,5,Mohamed Bana,1061,17,168,87206
3001937,1555,2,user3001937,11,0,76,3597759
8990391,95,1,Eduard Grigoryev,411,0,34,11684747
3126100,669,7,Mark Bakker,3,0,66,3761151
8836212,1,0,Dragoshh,0,0,3,5593592
7050774,183,7,Connor,9,0,36,9483818
3051741,3,0,itskcl,0,0,30,3662292
6643870,89,0,Michael Davison,6,0,27,8900184
6494472,5,0,Shilpa,0,0,22,8677458
13782817,41,0,Seema Varshney,0,0,2,18892966
12271088,1,0,Kum Long Yin,0,0,1,16964894
14187519,1,0,Joseph Binoy,0,0,5,19400947
6389355,41,2,Reece Maines,0,0,21,8523216
4450260,1979,6,gaurav gurnani,2,0,68,5620124
16142623,1,-1,Pranav Aggarwal,0,0,2,21850478
277262,8343,3,nukl,22,3,318,103535
12482781,35,2,Andy,4,0,3,17240346
8691109,263,4,Fahd Siddiqui,1,0,23,5227999
10605633,11,-2,R Surdhar,0,0,4,14685511
14545682,25,0,Bach,0,0,5,19856301
208266,1001,3,CoderChris,12,2,84,72091
4303418,304,7,Eben du Toit,54,0,57,5404502
12042870,388,4,Noga K,11,1,40,16663504
8352482,841,3,Thanh Nguyen,120,3,188,11393215
4457687,582,7,Alex Zel,27,5,50,5630623
11498540,1,0,User1193,0,0,2,15935186
13841792,21,2,djvecellio,0,0,1,18967579
1832418,2170,2,Mr. Concolato,1627,1,357,2054184
9596222,541,-2,John,35,0,345,2323580
1866890,207,2,sw6 - KTBFFH,18,1,38,2098677
11561788,1,0,J. Doe,0,0,2,15023026
6019372,105,1,Potheker,4,0,18,7976311
1583260,21,2,user1583260,0,0,3,1729310
9654521,171,0,Darcey BM,607,1,91,13378364
2138906,4366,16,I want badges,70,2,194,2453121
7766764,109,0,ramesh.metta,26,0,26,10540509
9732544,11,0,Brent Lageson,0,0,16,13489993
15237044,13,1,Matheus,0,0,1,20749102
3875610,1545,0,Anubhav Dikshit,82,2,199,4798369
7141430,127,6,visse226,8,0,57,9619834
3168283,503,6,takachanbo,77,0,48,3819997
13073585,1,0,Anna Whelan,0,0,6,17989045
3449718,43,-4,vishal kumar,0,0,24,4212407
11220487,1,0,Herry,0,0,9,15553374
5537859,47,0,phillip swag,2,0,10,7261195
3527474,197,0,Courtney,12,0,41,4318361
7597209,113,2,Александр Копаевич,11,0,20,10297554
1085736,7279,0,MobileMon,1008,84,934,1091117
3437721,1869,-1,user3437721,57,2,241,4196418
3193780,171,2,Pethead,33,7,48,3854463
5519012,183,0,Meir Tolpin,2,0,61,4693413
13200217,87,0,Andrei Miculiță,7,0,6,18146975
14923227,1615,8,Kevin,44,1,185,12753482
5306478,1388,-1,shayelk,156,15,104,6910306
9399960,11,1,Chhavi Saluja,0,0,27,13005237
1058099,693,0,Tusk,112,7,70,1055214
5363621,563,0,deega,11,0,91,6995927
5387266,11,1,Abdus Samad,0,0,2,7031884
6585391,1,0,Shreyash Gotee,0,0,1,8812933
2693909,51,2,user007,38,0,26,3189103
373908,20705,13,lokheart,332,2,988,156553
891494,2120,-2,Vignesh Prajapati,659,29,351,479059
7897425,13,1,age97701,0,0,8,10731435
5534113,45,2,Alex Firefly,2,0,7,7255198
5680294,323,22,mangoplant,0,0,18,7472999
1404505,13127,0,Junuxx,2266,88,2271,1499331
7407938,1,0,reluctantcapitalist,0,0,4,10017027
11412211,11,1,ohdore,0,0,4,15816693
1084470,1441,12,roblanf,132,3,53,1089513
12906230,1,-1,Utkarsh Jain,0,0,4,17773225
12956334,1,0,jsalk,0,0,0,17837742
5207690,17,0,ishita aggarwal,0,0,7,6760865
7186859,1,0,Mark Crabtree,0,0,2,9683897
1340702,5927,8,Daniel Thaagaard Andreasen,246,3,398,1414845
7442082,131,1,Martin Kumecký,2,0,26,10067274
51816,271050,123,Joan Venge,3303,480,12742,21350
